Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,,
A?,,,Stavební konstrukce,"konstrukční systém, který tvaruje vrstvenou konstrukci",,Assembly system,technical system which constitutes a layered construction,,,,,,,,,,,Stavební konstrukce
,AA,,Konstrukce vozovky,"stavební konstrukce, která tvoří prostor pro dopravu",svrchní vrstva komunikace,Pavement construction,assembly system forming areas for transport,,,,,,,,,,,konstrukce vozovky
,AB,,Základ stavby,"stavební konstrukce, která tvoří oddělení vůči zemní pláni","základová deska, základový pas, základová patka, hatě",Foundation construction,assembly system forming separation towards underground,,,,,,,,,,,základ stavby
,AC,,Stropní konstrukce,"stavební konstrukce, která tvoří horizontální oddělení","klenba, spřažený nosník, trámový nosník, prefabrikovaný nosník",Slab construction,assembly system forming horizontal separation,,,,,,,,,,,stropní konstrukce
,AD,,Konstrukce stěn,"stavební konstrukce, která tvoří vertikální oddělení nebo tvoří nesouvislou vertikální oporu","pohyblivá stěna, sendvičová stěna, zděná stěna",Wall construction,assembly system forming vertical separation,,,,,,,,,,,konstrukce stěn
,AE,,Střešní konstrukce,"stavební konstrukce, která ukončuje stavební dílo sěrem vzhůru","spřažený nosník střešní konstrukce, trámový nosník střešní konstrukce, prefabrikovaný nosník střešní konstrukce, klenba střešní konstrukce",Roof construction,assembly system terminating a construction entity upwards,,,,,,,,,,,střešní konstrukce
,AF,,Konstrukce schodiště,"stavební konstrukce, která stupni spojuje dvě nebo více úrovní","schodiště se schodnicemi, schodiště bez schodnic, prefabrikované schodiště, masivní schodiště",Stairway construction,assembly system establishing a step-wise link between two or more levels,,,,,,,,,,,konstrukce schodiště
,AG,,Konstrukce rampy,"stavební konstrukce, která spojuje dvě nebo více úrovní beze stupňů","zabudovaná rampa, samonosná rampa",Ramp construction,assembly system establishing a step-free link between two or more levels,,,,,,,,,,,konstrukce rampy
,AH,,Vyčnívající stavební konstrukce,"stavební konstrukce, která tvoří prostor navazující směrem ven, zabudován do konstrukce zdí nebo střechy","prefabrikovaná vyčnívající konstrukce, trámová vyčnívající konstrukce, pohyblivá vyčnívající konstrukce",Balcony,assembly system that creates an adjoining outer user space built into wall system or roof system,,,,,,,,,,,vyčnívající stavební konstrukce
,AJ,,Arkýř,"stavební konstrukce, která tvoří zvětšení vnitřního prostoru, zabudováno do konstrukce zdí",arkýř,Bay window,assembly system that creates an extended inner user space built into wall system,,,,,,,,,,,arkýř
,AK,,Vikýř,"stavební konstrukce, která tvoří zvětšení vnitřního prostoru, zabudováno do konstrukce střechy",vikýř,Dormer,assembly system that creates an extended inner user space built into roof system,,,,,,,,,,,vikýř
,AL,,Střešní věž,"stavební konstrukce, která tvoří zvětšení vnitřního prostoru, budováno nad konstrukcí střechy nebo stavebního díla",střešní věž,Roof tower,assembly system that creates an extended inner user space built on top of roof system or construction entity,,,,,,,,,,,střešní věž
,AM,,Světlík,"stavební konstrukce, která tvoří zvětšení prostoru pro přenos světla",světlík,Light well,assembly system that creates an extended space for light transmission,,,,,,,,,,,světlík
B?,,,Nosná konstrukce,"konstrukční systém, který má nosnou nebo stabilizující funkci",,Structural system,technical system which forms structural construction,,,,,,,,,,,Nosná konstrukce
,BA,,Podloží,"nosná konstrukce, která tvoří uzpůsobené objemy zeminy",stávající podloží,Groundworks structure,structural system forming a regulated volume of underground,,,,,,,,,,,podloží
,BB,,Základy,"nosná konstrukce, která spojuje stavební dílo se zemní plání",základová deska,Foundation structure,structural system connecting a construction entity with the underground,,,,,,,,,,,základy
,BC,,Nosníky,nosná konstrukce v horizontálním oddělení,mostní nosník,Slab structure,structural system in a horizontal separation,,,,,,,,,,,nosníky
,BD,,Stěny,nosná konstrukce ve vertikálním oddělení,"vnější stěny, vnitřní stěny budov",Wall structure,structural system in a vertical separation,,,,,,,,,,,stěny
,BE,,Střechy,"nosná konstrukce, která ukončuje stavební dílo směrem vzhůru",střešní konstrukce,Roof structure,structural system terminating a construction entity upwards,,,,,,,,,,,střechy
,BF,,Podlahy,"nosná konstrukce, která ukončuje prostor směrem dolů","hrubá podlaha, záklop",Floor structure,structural system terminating a space downwards,,,,,,,,,,,podlahy
,BG,,Stropy,"nosná konstrukce, která ukončuje prostor směrem vzhůru","strop, podhledy",Ceiling structure,structural system terminating a space upwards,,,,,,,,,,,stropy
,BH,,Vedení kabelových sítí,"nosná konstrukce, která podpírá nebo vynáší distribuční systémy","otevřené vedení kabelových sítí, uzavřené vedení kabelových sítí, nadzemní vedení kabelových sítí, podzemní vedení kabelových sítí",Routing structure,structural system supporting supply or distribution system,,,,,,,,,,,vedení kabelových sítí
C?,,,Zemní konstrukce,"konstrukční systém, který tvaruje prostory na, v nebo pod zemí",,Ground surface construction system,technical construction system forming ground-based areas,,,,,,,,,,,Zemní konstrukce
,CA,,Zemní pláň,"zemní konstrukce, která podpírá další konstrukce","vyztužená zemní pláň, výškově urovnaná zemní pláň, zemní pláň na pilotech",Subgrade construction,ground surface construction system which gives support to other constructions,,,,,,,,,,,zemní pláň
