Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
A??,,,Objekty pro lidské potřeby a činnosti,objekt kde se lidé zdržují a vykonávají aktivity,,Building for human needs and human activity,construction entity designed for human dwelling and activity,,,,,,,,,,Objekty pro lidské potřeby a činnosti
,AA?,,Obytné objekty,"objekt kde se lidé zdržují a vykonávají aktivity, které z převážné většiny zahrnují bytové jednotky pro trvalé nebo dočasné bydlení",,Residential building,building for human needs and human acitivity designed for permanent occupation,,,,,,,,,,Obytné objekty
,,AAA,Rodinné domy,obytný objekt pro jednu rodinu,"rodiný dům, chata, hausbot, řadový dům, fara, zámeček",Single-family house,residential building designed for one household,,,,,,,,,,rodinné domy
,,AAB,Bytové domy,obytný objekt pro několik rodin se samostatným zázemím,"vícegenerační dům, bytový dům, studentské koleje",House for multiple occupation,residential building designed for several households with individual facilities,,,,,,,,,,Bytové domy
,,AAC,Bytové domy se společným zázemím,obytný objekt pro několik rodin se společným zázemím,"domov důchodců, komunitní bydlení, dům s pečovatelskou službou",Housing complex,residential building designed for several households with shared facilities,,,,,,,,,,Bytové domy se společným zázemím
,AB?,,Hotelové a restaurační budovy,budovy pro lidské potřeby a aktivity konstruované pro dočasné bydlení a stravování,,Hotel and restaurant building,"building for human needs and human acitivity, designed for temporary occupation and eating",,,,,,,,,,Hotelové a restaurační budovy
,,ABA,Hotel,hotelová a restaurační budova s individuálním bydlením,"motel, hotel",Hotel building,hotel and restaurant building with individual residential facilities,,,,,,,,,,Hotel
,,ABB,Hostel,hotelová a restaurační budova se sdíleným bydlením,"hostel, noclehárna",Youth hostel building,hotel and restaurant building with shared residential facilities,,,,,,,,,,Hostel
,,ABC,Restaurace,hotelová a restaurační budova se sdílenými prostory pro stravování,"restaurace, rychlé občerstvení, pizzerie",Restaurant building,hotel and restaurant building with shared eating facilities,,,,,,,,,,Restaurace
,AC?,,Sanitární objekty,budova pro lidské potřeby a aktivity související s osobní hygienou,,Hygiene building,building for human needs and human acitivity designed to achieve personal hygiene,,,,,,,,,,Sanitární objekty
,,ACA,Toalety (wc),sanitární budova určená k provedení osobní hygieny a vykonání potřeby,"toalety, suchý záchod",Toilet building,hygiene building designed for persons to relieve themselves,,,,,,,,,,Toalety (WC)
,,ACB,Veřejné lázně,sanitární budova určená k umytí a případně k vykonání potřeby,lázně,Baths building,hygiene building designed to enable persons to wash and possibly relieve themselves,,,,,,,,,,Veřejné lázně
,,ACC,Sauny,sanitární budova určená k provedení hygieny formou horké sauny,sauna,Sauna building,hygiene building designed for one or more persons to take a sweat-inducing bath,,,,,,,,,,Sauny
,,ACD,Šatny,sanitární budova určená k převlékání jedné či více osob,"šatny, převlékací kóje",Changing building,hygiene building designed for one or more persons to change clothing,,,,,,,,,,Šatny
